"Test","sensor","pressure","temperature"
1,"sensor1",12.1527007663291,30.6841910665144
1,"sensor2",10.1481842560524,23.8244193547768
2,"sensor1",7.36302023677935,16.8066505211259
2,"sensor2",10.723667755041,28.433714303216
3,"sensor1",12.3416881310968,26.0055293910786
3,"sensor2",12.1995321682383,17.6030956036919
4,"sensor1",8.45376339784815,26.8937839517557
4,"sensor2",12.1883018481837,31.0923778708892
5,"sensor1",10.8294557172026,26.5875286292214
5,"sensor2",11.9104622242912,24.2930663722495
6,"sensor1",7.06369128666596,19.5094304022042
6,"sensor2",7.8388597810651,15.4685307497705
